data set,model,covariates,b,beta,time,LLF,converged
DS1,DW,-,0.994194140625,[],0.9941822704481335,[],0.0128125,-35.371874676981975,True
DS1,DW,E,0.9942426757812499,[0.01062378],0.9952279417856931,[0.1552065],0.055,-33.19995193813571,True
DS1,DW,F,0.9951026580810556,[0.0124986],0.9977694552757915,[0.04496836],0.05,-29.47031369828821,True
DS1,DW,C,0.9942912109374998,[0.01063916],0.9955263652231612,[0.13681203],0.053125,-33.04090113120543,True
DS1,DW,EF,0.9952668860316449,[0.00999698 0.01050686],0.9977755795734017,[0.05936205 0.04149497],0.1171875,-29.203429026484002,True
DS1,DW,FC,0.9952797001661002,[0.0104986  0.00999864],0.9977570551903278,[0.04093536 0.04754854],0.100625,-29.27885983474482,True
DS1,DW,EC,0.9944076886547348,[0.01094141 0.01197909],0.9963508330982085,[0.14263609 0.12336662],0.134375,-31.41475286849706,True
DS1,DW,EFC,0.9953261635937862,[0.01044499 0.01001238 0.01002016],0.9978159713718364,[0.07130788 0.03619626 0.0584351 ],0.1765625,-28.913693844135878,True
DS2,DW,-,0.9893406250000001,[],0.9893811824673818,[],0.0084375,-37.29405578935032,True
DS2,DW,E,0.9895347656250002,[0.01083496],0.9905566217373989,[0.18466703],0.0409375,-36.43179630157487,True
DS2,DW,F,0.9906510742187482,[0.01166528],0.9923092934552689,[0.04254664],0.03375,-33.3967280796324,True
DS2,DW,C,0.9894376953125006,[0.0111792],0.9921823620409754,[0.22536356],0.0346875,-34.6132847960962,True
DS2,DW,EF,0.9902953890784101,[0.0096191  0.01121599],0.9928869207794868,[-0.58420992  0.0963161 ],0.07,-31.341267562088454,True
DS2,DW,FC,0.9903396877669393,[0.01191377 0.00885177],0.9925340995932059,[0.03702465 0.0499967 ],0.07625,-33.338437691421056,True
DS2,DW,EC,0.9895381036544746,[0.01004822 0.01050751],0.9924713567234741,[-0.40596819  0.46307447],0.0778125,-33.63866853932418,True
DS2,DW,EFC,0.9901914199554431,[0.00996386 0.01051249 0.01008097],0.994061884683916,[-0.84634732  0.08616175  0.3039583 ],0.125,-29.86953655884158,True
DS1,GM,-,0.031500000000000035,[],0.03129002146163878,[],0.0078125,-41.46818260436416,True
DS1,GM,E,0.04826171874999968,[0.05691016],0.05976810097007727,[0.28368348],0.039375,-36.1263529012823,True
DS1,GM,F,0.015105163574218622,[0.05786383],0.01475114528369863,[0.05895853],0.0328125,-31.213460595474828,True
DS1,GM,C,0.07160384368896422,[0.21104713],0.05223892567240046,[0.2753168],0.0346875,-35.542772306584226,True
DS1,GM,EF,0.014185342182661383,[-0.00888306  0.05963809],0.021396318182093796,[0.1396797 0.0514606],0.088125,-30.024948286883983,True
DS1,GM,FC,0.013355776898697543,[ 0.05965582 -0.00940362],0.02224309960253959,[0.05075008 0.08672168],0.0775,-30.892875375590677,True
DS1,GM,EC,0.05523264365188285,[0.10176983 0.05124013],0.03780634582552834,[0.28647548 0.24437055],0.110625,-30.079633494894978,True
DS1,GM,EFC,0.014293519420537346,[-0.01474792  0.0574622   0.01613662],0.026191997247084504,[0.21774224 0.03132722 0.17702043],0.1546875,-28.40418700693695,True
DS2,GM,-,0.10550000000000016,[],0.1019379226060928,[],0.0059375,-29.37797105776925,True
DS2,GM,E,0.09588745117187475,[0.05263892],0.0936168292905437,[0.49856936],0.03125,-24.93183587949651,True
DS2,GM,F,0.06003442382812468,[0.07292554],0.07293924750862618,[0.05893731],0.026875,-23.290894381358065,True
DS2,GM,C,0.09141308593749975,[0.05302051],0.07712131602442136,[0.35000826],0.0246875,-24.325161624170242,True
DS2,GM,EF,0.06743569958847738,[-0.10823148  0.06605658],0.07477188240001889,[0.06552505 0.05366129],0.0665625,-23.2695077164611,True
DS2,GM,FC,0.0694611452635382,[0.0605428  0.00940623],0.07032600272894643,[0.04467209 0.12881489],0.0578125,-23.012508723418584,True
DS2,GM,EC,0.12041872427983405,[-0.10335597  0.25054218],0.0794231299571112,[0.19881497 0.24491958],0.0528125,-24.093693978678026,True
DS2,GM,EFC,0.06973834203122897,[-0.01136074  0.06321281 -0.00999097],0.06936378714924472,[-0.03643947  0.04664847  0.13732605],0.0875,-23.00672947140483,True
DS1,NB,-,0.1375000000000002,[],0.13765493192001294,[],0.0140625,-36.40994169010378,True
DS1,NB,E,0.10754736328124995,[-0.09992383],0.1324706504822744,[0.22086559],0.054375,-32.307447469703874,True
DS1,NB,F,0.029723327636718533,[0.08810114],0.07947719918780323,[0.04828137],0.0571875,-28.800443705224893,True
DS1,NB,C,0.08140917968750028,[-0.04804297],0.08140917968750028,[-0.04804297],0.05,-40.64984625938925,False
DS1,NB,EF,0.07266415498145568,[-0.04842025  0.054707  ],0.08291406814365287,[0.10265159 0.04161186],0.1128125,-28.052345047738072,True
DS1,NB,FC,0.07133988800614732,[ 0.05299732 -0.04751979],0.08371666580908908,[0.04068552 0.07896959],0.1134375,-28.373660806986237,True
DS1,NB,EC,0.09625952258942047,[-0.01877053 -0.04440105],0.09625952258942047,[-0.01877053 -0.04440105],0.0921875,-40.06494410320394,False
DS1,NB,EFC,0.060320298577843795,[-0.01388456  0.06285811 -0.07365764],0.08478873382711535,[0.12707767 0.03063154 0.10213574],0.1634375,-27.287369272737493,True
DS2,NB,-,0.23350000000000037,[],0.22359296978837598,[],0.01,-30.56096927435143,True
DS2,NB,E,0.19462266921997062,[-0.20161409],0.2001813328596764,[0.32235668],0.035625,-28.058993372400515,True
DS2,NB,F,0.18602684020996074,[0.04312007],0.17594346539218714,[0.04885447],0.035,-25.730379350352074,True
DS2,NB,C,0.14892494583129923,[-0.12360347],0.17775104945077813,[0.27312263],0.0340625,-26.806901991970754,True
DS2,NB,EF,0.1709717314574909,[-0.19331668  0.06405278],0.17159074583797332,[-0.18365447  0.065508  ],0.0753125,-25.515118449296345,True
DS2,NB,FC,0.20603159475840188,[ 0.03824599 -0.06344703],0.1713914157863148,[0.03937177 0.08208388],0.0825,-25.594296385461426,True
DS2,NB,EC,0.18556555784179157,[-0.10335785 -0.05805361],0.17652064337509335,[-0.06065841  0.30866517],0.075,-26.784004042830723,True
DS2,NB,EFC,0.1389615361530922,[-0.10356088  0.08877201 -0.06542415],0.1590373823424082,[-0.34683774  0.05828237  0.18953862],0.105,-25.000592164316252,True
