b,betas,time,LLF,converged
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.0625,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.03125,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.0625,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
-916.0641507,[-0.58978995],0.046875,nan,FALSE
,,0.04703125,,0
